id_operacion;ubicacion;SOA;operador1;operador2;operacion;resultado;id_participantes;id_bloque;correctas_deteccion;correctas_operacion;TR_deteccion;acarreo
273;Derecha;750;94;32;Resta;52;264a3;Bloque 1;1;1;407;No
211;Derecha;300;68;24;Resta;62;264a3;Bloque 1;1;1;547;Si
338;Derecha;1250;83;29;Resta;54;264a3;Bloque 1;1;1;495;Si
216;Izquierda;300;72;41;Resta;31;264a3;Bloque 1;1;1;466;Si
52;Izquierda;750;53;25;Suma;78;264a3;Bloque 1;1;1;341;No
67;Izquierda;300;61;28;Suma;89;264a3;Bloque 1;1;1;439;No
20;Izquierda;300;41;35;Suma;64;264a3;Bloque 1;1;1;369;No
336;Izquierda;300;82;46;Resta;43;f095b;Bloque 1;1;1;664;Si
288;Izquierda;1250;98;43;Resta;55;f095b;Bloque 1;1;1;554;No
27;Izquierda;300;43;24;Suma;95;f095b;Bloque 1;1;1;478;Si
333;Derecha;300;82;35;Resta;47;f095b;Bloque 1;1;1;554;No
151;Derecha;750;52;39;Suma;91;f095b;Bloque 1;1;1;463;No
108;Derecha;1250;37;26;Suma;45;f095b;Bloque 1;1;1;313;Si
376;Izquierda;1250;95;27;Resta;68;f095b;Bloque 1;1;0;541;Si
185;Derecha;750;67;28;Suma;80;f095b;Bloque 1;1;1;522;No
9;Derecha;750;32;27;Suma;70;f095b;Bloque 1;1;1;425;No
313;Izquierda;750;72;25;Resta;33;f095b;Bloque 1;1;1;527;No
72;Derecha;300;62;24;Suma;72;f095b;Bloque 1;1;1;565;No
207;Izquierda;1250;65;24;Resta;41;f095b;Bloque 1;1;1;619;Si
252;Derecha;750;87;31;Resta;56;f095b;Bloque 1;1;0;812;No
144;Izquierda;300;49;25;Suma;74;f095b;Bloque 1;1;1;524;No
267;Derecha;1250;93;21;Resta;51;f095b;Bloque 1;1;1;1213;Si
213;Izquierda;750;68;26;Resta;42;f095b;Bloque 1;1;0;529;Si
138;Izquierda;750;48;34;Suma;82;f095b;Bloque 1;1;1;461;Si
20;Izquierda;1250;41;35;Suma;64;f095b;Bloque 1;1;0;360;No
141;Derecha;1250;48;37;Suma;60;f095b;Bloque 1;1;1;205;Si
382;Derecha;750;96;49;Resta;47;f095b;Bloque 1;1;0;371;No
97;Derecha;750;32;29;Suma;51;f095b;Bloque 1;1;1;337;No
255;Derecha;750;87;43;Resta;44;f095b;Bloque 1;1;1;951;Si
13;Derecha;300;35;24;Suma;83;f095b;Bloque 1;1;1;531;Si
217;Izquierda;750;73;21;Resta;52;f095b;Bloque 1;1;1;566;Si
67;Derecha;750;61;28;Suma;89;f095b;Bloque 1;1;1;326;No
366;Derecha;1250;93;25;Resta;68;f095b;Bloque 1;1;0;290;No
361;Derecha;1250;92;26;Resta;47;f095b;Bloque 1;1;1;394;No
328;Izquierda;1250;76;29;Resta;47;f095b;Bloque 1;1;1;475;No
380;Izquierda;1250;96;29;Resta;80;f095b;Bloque 1;1;1;553;No
214;Derecha;750;69;24;Resta;64;f095b;Bloque 1;1;1;622;Si
136;Izquierda;1250;48;25;Suma;87;f095b;Bloque 1;1;1;524;Si
158;Izquierda;750;56;38;Suma;66;f095b;Bloque 1;1;1;419;No
284;Derecha;1250;97;34;Resta;63;f095b;Bloque 1;1;1;444;Si
256;Derecha;300;87;46;Resta;41;f095b;Bloque 1;1;1;1174;Si
211;Izquierda;300;68;24;Resta;62;f095b;Bloque 1;1;1;462;Si
329;Derecha;750;78;29;Resta;69;f095b;Bloque 1;1;1;604;No
77;Izquierda;750;63;32;Suma;67;6.00E+92;Bloque 1;1;1;682;Si
198;Izquierda;1250;57;24;Resta;39;6.00E+92;Bloque 1;1;1;666;No
89;Derecha;1250;72;24;Suma;68;6.00E+92;Bloque 1;1;1;506;Si
45;Derecha;300;51;36;Suma;87;6.00E+92;Bloque 1;1;1;542;No
263;Izquierda;1250;89;42;Resta;33;6.00E+92;Bloque 1;1;1;604;Si
1;Derecha;750;31;23;Suma;54;6.00E+92;Bloque 1;1;1;735;No
20;Derecha;1250;41;35;Suma;64;6.00E+92;Bloque 1;1;0;760;No
272;Derecha;300;94;21;Resta;73;6.00E+92;Bloque 1;1;0;651;Si
26;Derecha;300;43;21;Suma;64;6.00E+92;Bloque 1;1;1;910;Si
378;Izquierda;750;95;39;Resta;56;6.00E+92;Bloque 1;1;1;812;Si
102;Izquierda;750;35;29;Suma;64;6.00E+92;Bloque 1;1;0;724;Si
23;Derecha;300;42;25;Suma;56;6.00E+92;Bloque 1;1;1;807;Si
50;Izquierda;750;52;43;Suma;95;6.00E+92;Bloque 1;1;1;616;No
120;Izquierda;1250;43;28;Suma;84;6.00E+92;Bloque 1;1;0;506;No
171;Derecha;750;59;27;Suma;122;6.00E+92;Bloque 1;1;1;618;Si
165;Derecha;1250;58;27;Suma;85;6.00E+92;Bloque 1;1;1;650;No
347;Izquierda;1250;85;38;Resta;47;6.00E+92;Bloque 1;1;0;713;No
363;Izquierda;750;92;37;Resta;39;6.00E+92;Bloque 1;1;1;631;Si
209;Derecha;1250;67;23;Resta;37;6.00E+92;Bloque 1;1;1;501;Si
312;Izquierda;750;72;23;Resta;49;6.00E+92;Bloque 1;1;1;566;Si
68;Izquierda;300;61;34;Suma;113;6.00E+92;Bloque 1;1;0;817;Si
327;Izquierda;300;76;28;Resta;57;6.00E+92;Bloque 1;1;0;722;No
112;Derecha;1250;38;26;Suma;64;6.00E+92;Bloque 1;1;1;437;Si
189;Izquierda;1250;69;23;Suma;92;6.00E+92;Bloque 1;1;0;486;No
164;Derecha;750;58;26;Suma;84;6.00E+92;Bloque 1;1;1;863;No
167;Izquierda;300;58;36;Suma;94;6.00E+92;Bloque 1;1;1;582;Si
286;Derecha;750;98;26;Resta;72;6.00E+92;Bloque 1;1;0;594;Si
7;Izquierda;1250;32;24;Suma;56;6.00E+92;Bloque 1;1;1;539;No
304;Izquierda;1250;64;27;Resta;37;6.00E+92;Bloque 1;0;0;349;Si
44;Izquierda;1250;51;35;Suma;86;6.00E+92;Bloque 1;1;1;583;No
278;Derecha;1250;95;34;Resta;73;6.00E+92;Bloque 1;1;0;597;Si
343;Izquierda;300;84;29;Resta;78;6.00E+92;Bloque 1;1;1;2170;Si
173;Derecha;1250;59;35;Suma;66;6.00E+92;Bloque 1;1;1;797;Si
46;Izquierda;300;51;45;Suma;96;6.00E+92;Bloque 1;1;1;980;Si
269;Derecha;300;93;32;Resta;73;6.00E+92;Bloque 1;1;0;648;No
323;Izquierda;300;74;28;Resta;39;6.00E+92;Bloque 1;1;1;599;No
206;Izquierda;1250;65;21;Resta;44;5959a;Bloque 1;1;0;438;Si
75;Izquierda;300;62;36;Suma;139;5959a;Bloque 1;1;0;400;No
54;Derecha;750;53;32;Suma;101;5959a;Bloque 1;1;1;436;Si
22;Izquierda;750;41;38;Suma;79;5959a;Bloque 1;1;0;473;Si
296;Izquierda;1250;62;25;Resta;37;5959a;Bloque 1;1;0;459;Si
236;Derecha;1250;82;21;Resta;61;5959a;Bloque 1;1;0;524;Si
169;Derecha;750;59;24;Suma;70;5959a;Bloque 1;1;0;381;No
302;Derecha;300;63;29;Resta;34;5959a;Bloque 1;1;0;493;Si
295;Derecha;1250;62;24;Resta;32;5959a;Bloque 1;1;1;410;Si
27;Izquierda;750;43;24;Suma;95;5959a;Bloque 1;1;1;549;Si
48;Izquierda;750;52;24;Suma;76;5959a;Bloque 1;1;0;398;Si
187;Izquierda;1250;68;26;Suma;94;5959a;Bloque 1;1;0;333;No
136;Derecha;750;48;25;Suma;87;5959a;Bloque 1;1;0;481;Si
96;Derecha;300;76;21;Suma;69;5959a;Bloque 1;1;0;541;No
90;Izquierda;750;72;26;Suma;98;5959a;Bloque 1;1;0;474;Si
153;Derecha;300;53;29;Suma;82;5959a;Bloque 1;1;0;814;No
55;Izquierda;750;53;41;Suma;94;5959a;Bloque 1;1;0;854;No
80;Derecha;1250;64;25;Suma;89;5959a;Bloque 1;1;1;414;Si
57;Izquierda;750;54;32;Suma;61;5959a;Bloque 1;1;1;674;No
197;Derecha;1250;57;21;Resta;51;5959a;Bloque 1;1;1;452;No
182;Derecha;1250;65;29;Suma;94;5959a;Bloque 1;1;1;489;No
180;Derecha;1250;65;27;Suma;109;5959a;Bloque 1;1;1;609;Si
367;Derecha;1250;93;27;Resta;66;5959a;Bloque 1;1;0;554;No
290;Derecha;750;61;25;Resta;43;5959a;Bloque 1;1;1;767;Si
106;Izquierda;750;37;24;Suma;86;5959a;Bloque 1;1;1;679;No
330;Izquierda;300;81;36;Resta;64;5959a;Bloque 1;1;1;595;No
162;Derecha;750;57;39;Suma;96;5959a;Bloque 1;1;0;457;Si
115;Izquierda;750;39;24;Suma;89;5959a;Bloque 1;1;1;391;No
253;Derecha;750;87;32;Resta;78;5959a;Bloque 1;1;0;569;No
348;Izquierda;1250;85;39;Resta;33;5959a;Bloque 1;1;1;410;No
224;Izquierda;300;74;42;Resta;45;5959a;Bloque 1;1;1;525;No
240;Izquierda;750;83;41;Resta;50;5959a;Bloque 1;1;1;460;Si
336;Derecha;750;82;46;Resta;43;5959a;Bloque 1;1;0;522;Si
326;Derecha;1250;75;29;Resta;39;5959a;Bloque 1;1;1;386;No
229;Derecha;750;78;23;Resta;55;5959a;Bloque 1;1;1;552;No
340;Izquierda;300;83;45;Resta;27;5959a;Bloque 1;1;1;587;Si
349;Derecha;750;85;49;Resta;25;4308c;Bloque 1;1;1;811;Si
171;Derecha;750;59;27;Suma;122;4308c;Bloque 1;1;0;607;Si
198;Derecha;1250;57;24;Resta;39;4308c;Bloque 1;1;0;516;No
78;Derecha;300;64;21;Suma;85;4308c;Bloque 1;1;0;682;No
260;Izquierda;1250;89;35;Resta;64;4308c;Bloque 1;1;0;497;No
363;Izquierda;300;92;37;Resta;39;4308c;Bloque 1;1;0;739;Si
347;Derecha;300;85;38;Resta;47;4308c;Bloque 1;1;0;490;No
200;Izquierda;750;57;26;Resta;37;4308c;Bloque 1;1;1;472;No
140;Derecha;750;48;36;Suma;84;4308c;Bloque 1;1;1;599;Si
143;Izquierda;300;49;23;Suma;72;4308c;Bloque 1;1;0;516;Si
99;Derecha;750;34;29;Suma;63;4308c;Bloque 1;0;0;523;No
35;Derecha;750;45;31;Suma;90;4308c;Bloque 1;1;1;751;Si
224;Derecha;300;74;42;Resta;45;4308c;Bloque 1;1;1;561;No
238;Izquierda;300;83;31;Resta;52;4308c;Bloque 1;1;1;770;Si
113;Derecha;1250;38;29;Suma;56;4308c;Bloque 1;1;1;366;Si
320;Derecha;1250;73;39;Resta;48;4308c;Bloque 1;1;0;548;No
172;Izquierda;1250;59;34;Suma;78;4308c;Bloque 1;1;1;459;Si
177;Izquierda;1250;63;29;Suma;77;4308c;Bloque 1;1;1;809;Si
268;Derecha;300;93;31;Resta;62;4308c;Bloque 1;1;1;721;Si
56;Izquierda;1250;53;45;Suma;98;4308c;Bloque 1;1;0;724;No
38;Izquierda;750;47;21;Suma;48;4308c;Bloque 1;1;1;612;Si
19;Izquierda;1250;41;27;Suma;96;4308c;Bloque 1;1;1;508;Si
87;Izquierda;300;72;21;Suma;78;4308c;Bloque 1;1;0;548;Si
182;Derecha;1250;65;29;Suma;94;4308c;Bloque 1;1;1;1077;No
348;Derecha;300;85;39;Resta;33;4308c;Bloque 1;1;0;632;No
270;Derecha;300;93;41;Resta;52;4308c;Bloque 1;1;0;571;No
53;Izquierda;1250;53;31;Suma;84;4308c;Bloque 1;1;0;657;Si
331;Derecha;1250;81;49;Resta;27;4308c;Bloque 1;0;1;495;No
74;Derecha;1250;62;35;Suma;97;4308c;Bloque 1;1;1;985;Si
111;Izquierda;300;38;25;Suma;63;4308c;Bloque 1;1;0;957;No
84;Izquierda;300;67;31;Suma;98;4308c;Bloque 1;1;1;698;Si
197;Derecha;750;57;21;Resta;51;4308c;Bloque 1;1;1;657;No
353;Izquierda;300;86;47;Resta;39;4308c;Bloque 1;1;0;1375;No
210;Izquierda;300;67;25;Resta;42;4308c;Bloque 1;1;1;608;Si
128;Izquierda;750;45;36;Suma;68;4308c;Bloque 1;1;0;719;Si
60;Izquierda;750;56;23;Suma;112;4308c;Bloque 1;1;1;1114;No
241;Izquierda;1250;83;42;Resta;41;15a8a;Bloque 1;1;1;2387;Si
53;Derecha;300;53;31;Suma;84;15a8a;Bloque 1;1;0;567;Si
130;Izquierda;750;46;25;Suma;60;15a8a;Bloque 1;1;1;500;Si
203;Derecha;300;59;23;Resta;36;15a8a;Bloque 1;1;1;631;No
342;Derecha;750;84;28;Resta;47;15a8a;Bloque 1;1;1;519;Si
174;Derecha;1250;59;37;Suma;96;15a8a;Bloque 1;1;0;676;No
208;Derecha;300;65;32;Resta;33;15a8a;Bloque 1;1;1;768;Si
319;Izquierda;1250;73;38;Resta;25;15a8a;Bloque 1;1;1;682;No
348;Izquierda;1250;85;39;Resta;33;15a8a;Bloque 1;1;1;671;No
136;Izquierda;750;48;25;Suma;87;15a8a;Bloque 1;1;1;639;Si
143;Derecha;1250;49;23;Suma;72;15a8a;Bloque 1;1;0;493;Si
245;Derecha;750;85;32;Resta;45;15a8a;Bloque 1;1;1;601;Si
197;Izquierda;750;57;21;Resta;51;15a8a;Bloque 1;1;1;726;No
154;Derecha;1250;53;38;Suma;91;15a8a;Bloque 1;1;0;682;No
316;Derecha;300;73;29;Resta;31;15a8a;Bloque 1;1;1;534;No
151;Derecha;750;52;39;Suma;91;15a8a;Bloque 1;1;0;712;No
129;Derecha;300;45;37;Suma;82;15a8a;Bloque 1;1;0;475;No
69;Izquierda;750;61;35;Suma;114;15a8a;Bloque 1;1;0;753;Si
18;Derecha;300;41;24;Suma;46;15a8a;Bloque 1;1;1;862;Si
277;Derecha;1250;95;32;Resta;45;15a8a;Bloque 1;1;0;529;Si
23;Izquierda;1250;42;25;Suma;56;15a8a;Bloque 1;0;0;938;Si
163;Izquierda;300;58;24;Suma;98;15a8a;Bloque 1;0;1;755;Si
90;Izquierda;300;72;26;Suma;98;15a8a;Bloque 1;0;0;1095;Si
29;Derecha;750;43;26;Suma;69;15a8a;Bloque 1;0;0;1118;Si
359;Izquierda;300;91;43;Resta;48;15a8a;Bloque 1;1;1;1177;Si
210;Izquierda;300;67;25;Resta;42;15a8a;Bloque 1;1;1;1003;Si
92;Izquierda;300;73;24;Suma;115;15a8a;Bloque 1;1;0;1011;Si
318;Derecha;300;73;35;Resta;32;15a8a;Bloque 1;1;1;1019;Si
341;Izquierda;300;84;27;Resta;57;15a8a;Bloque 1;1;0;939;Si
272;Izquierda;300;94;21;Resta;73;15a8a;Bloque 1;1;0;1129;Si
353;Derecha;1250;86;47;Resta;39;15a8a;Bloque 1;1;0;804;No
22;Derecha;300;41;38;Suma;79;15a8a;Bloque 1;1;0;680;Si
145;Derecha;750;49;26;Suma;53;15a8a;Bloque 1;1;1;547;No
340;Izquierda;1250;83;45;Resta;27;15a8a;Bloque 1;1;1;714;Si
329;Derecha;300;78;29;Resta;69;15a8a;Bloque 1;1;0;838;No
17;Izquierda;750;38;21;Suma;59;15a8a;Bloque 1;1;0;604;Si
31;Derecha;300;43;35;Suma;66;ab518;Bloque 1;1;1;798;Si
133;Izquierda;1250;47;35;Suma;69;ab518;Bloque 1;1;1;1428;Si
193;Derecha;300;52;21;Resta;31;ab518;Bloque 1;1;1;2020;No
304;Izquierda;750;64;27;Resta;37;ab518;Bloque 1;1;1;1207;Si
354;Derecha;300;86;48;Resta;38;ab518;Bloque 1;1;1;2806;Si
294;Derecha;1250;62;23;Resta;28;ab518;Bloque 1;1;1;4963;Si
309;Izquierda;750;71;24;Resta;47;ab518;Bloque 1;1;0;1793;Si
58;Izquierda;750;54;35;Suma;89;ab518;Bloque 1;1;1;2422;Si
211;Derecha;750;68;24;Resta;62;ab518;Bloque 1;1;1;1528;Si
109;Izquierda;1250;37;28;Suma;92;ab518;Bloque 1;1;1;938;Si
217;Derecha;750;73;21;Resta;52;ab518;Bloque 1;1;0;737;Si
63;Derecha;300;57;21;Suma;78;ab518;Bloque 1;1;0;2500;Si
108;Derecha;1250;37;26;Suma;45;ab518;Bloque 1;1;1;623;Si
212;Derecha;1250;68;25;Resta;36;ab518;Bloque 1;1;1;649;Si
6;Izquierda;300;32;21;Suma;63;ab518;Bloque 1;1;0;931;No
349;Izquierda;300;85;49;Resta;25;ab518;Bloque 1;1;1;664;Si
35;Izquierda;750;45;31;Suma;90;ab518;Bloque 1;1;1;487;Si
226;Izquierda;300;75;32;Resta;43;ab518;Bloque 1;1;0;599;Si
134;Izquierda;300;47;39;Suma;86;ab518;Bloque 1;1;1;1346;Si
93;Izquierda;300;74;21;Suma;95;ab518;Bloque 1;1;1;970;Si
230;Derecha;1250;78;26;Resta;62;ab518;Bloque 1;1;1;779;No
129;Derecha;300;45;37;Suma;82;ab518;Bloque 1;1;0;621;No
365;Derecha;300;92;45;Resta;40;ab518;Bloque 1;1;1;810;No
116;Izquierda;1250;39;26;Suma;65;ab518;Bloque 1;1;1;1054;Si
243;Izquierda;750;84;43;Resta;41;ab518;Bloque 1;1;0;1010;No
79;Izquierda;300;64;23;Suma;73;ab518;Bloque 1;1;1;1043;Si
318;Derecha;300;73;35;Resta;32;ab518;Bloque 1;1;1;648;Si
259;Izquierda;300;89;27;Resta;62;ab518;Bloque 1;1;0;1093;Si
302;Izquierda;1250;63;29;Resta;34;ab518;Bloque 1;1;0;578;Si
18;Izquierda;750;41;24;Suma;46;ab518;Bloque 1;1;0;613;Si
33;Derecha;1250;45;23;Suma;96;ab518;Bloque 1;1;1;644;Si
56;Derecha;300;53;45;Suma;98;ab518;Bloque 1;1;0;1183;No
199;Izquierda;750;57;25;Resta;23;ab518;Bloque 1;1;0;604;No
159;Derecha;300;57;24;Suma;81;ab518;Bloque 1;1;0;1070;No
169;Derecha;300;59;24;Suma;70;ab518;Bloque 1;1;1;839;No
210;Derecha;1250;67;25;Resta;42;ab518;Bloque 1;1;0;1090;Si
79;Izquierda;300;64;23;Suma;73;f7bbe;Bloque 1;1;1;398;Si
76;Izquierda;750;63;26;Suma;89;f7bbe;Bloque 1;1;0;890;Si
337;Izquierda;1250;82;49;Resta;33;f7bbe;Bloque 1;1;1;582;Si
164;Derecha;1250;58;26;Suma;84;f7bbe;Bloque 1;1;1;453;No
160;Derecha;1250;57;28;Suma;85;f7bbe;Bloque 1;1;0;481;No
294;Izquierda;1250;62;23;Resta;28;f7bbe;Bloque 1;1;0;597;Si
247;Derecha;750;85;43;Resta;42;f7bbe;Bloque 1;1;0;718;Si
375;Izquierda;750;94;39;Resta;78;f7bbe;Bloque 1;1;1;719;No
304;Derecha;750;64;27;Resta;37;f7bbe;Bloque 1;1;1;406;Si
158;Izquierda;300;56;38;Suma;66;f7bbe;Bloque 1;1;1;700;No
369;Derecha;750;93;37;Resta;56;f7bbe;Bloque 1;1;1;876;Si
180;Izquierda;1250;65;27;Suma;109;f7bbe;Bloque 1;1;1;555;Si
57;Izquierda;1250;54;32;Suma;61;f7bbe;Bloque 1;1;1;724;No
379;Derecha;1250;96;27;Resta;98;f7bbe;Bloque 1;1;1;776;No
268;Derecha;750;93;31;Resta;62;f7bbe;Bloque 1;1;1;749;Si
29;Derecha;1250;43;26;Suma;69;f7bbe;Bloque 1;1;1;459;Si
134;Derecha;750;47;39;Suma;86;f7bbe;Bloque 1;1;1;503;Si
274;Izquierda;1250;94;42;Resta;52;f7bbe;Bloque 1;1;1;1150;No
37;Derecha;1250;46;32;Suma;78;f7bbe;Bloque 1;1;1;504;Si
243;Izquierda;300;84;43;Resta;41;f7bbe;Bloque 1;1;1;778;No
306;Izquierda;750;65;26;Resta;39;f7bbe;Bloque 1;1;0;614;No
195;Izquierda;750;56;24;Resta;45;f7bbe;Bloque 1;1;1;693;No
8;Derecha;750;32;26;Suma;58;f7bbe;Bloque 1;1;1;665;No
52;Derecha;1250;53;25;Suma;78;f7bbe;Bloque 1;1;1;686;No
54;Izquierda;750;53;32;Suma;101;f7bbe;Bloque 1;1;1;934;Si
77;Izquierda;300;63;32;Suma;67;f7bbe;Bloque 1;1;1;619;Si
122;Derecha;750;43;38;Suma;115;f7bbe;Bloque 1;1;1;2053;Si
249;Derecha;750;86;42;Resta;44;f7bbe;Bloque 1;1;1;593;Si
24;Derecha;300;42;26;Suma;68;f7bbe;Bloque 1;1;1;944;Si
124;Izquierda;300;45;26;Suma;71;f7bbe;Bloque 1;1;1;629;No
226;Izquierda;1250;75;32;Resta;43;f7bbe;Bloque 1;1;1;676;Si
136;Izquierda;750;48;25;Suma;87;f7bbe;Bloque 1;1;1;700;Si
370;Izquierda;1250;94;25;Resta;82;f7bbe;Bloque 1;1;1;902;Si
351;Derecha;1250;86;38;Resta;34;f7bbe;Bloque 1;1;1;475;No
251;Derecha;1250;87;26;Resta;61;f7bbe;Bloque 1;1;1;766;No
315;Izquierda;1250;73;27;Resta;55;f7bbe;Bloque 1;1;0;671;Si
170;Izquierda;1250;59;25;Suma;100;5ff48;Bloque 1;1;1;647;Si
6;Derecha;750;32;21;Suma;63;5ff48;Bloque 1;1;1;922;No
352;Derecha;750;86;39;Resta;56;5ff48;Bloque 1;1;1;519;No
100;Derecha;300;35;27;Suma;62;5ff48;Bloque 1;1;1;385;No
201;Derecha;1250;58;24;Resta;40;5ff48;Bloque 1;1;1;396;No
205;Izquierda;750;63;21;Resta;35;5ff48;Bloque 1;1;1;657;Si
24;Izquierda;1250;42;26;Suma;68;5ff48;Bloque 1;1;1;1094;Si
377;Izquierda;300;95;28;Resta;67;5ff48;Bloque 1;1;1;1169;No
76;Derecha;1250;63;26;Suma;89;5ff48;Bloque 1;1;1;708;Si
263;Izquierda;300;89;42;Resta;33;5ff48;Bloque 1;1;1;753;Si
282;Derecha;750;96;45;Resta;51;5ff48;Bloque 1;1;1;712;Si
180;Izquierda;1250;65;27;Suma;109;5ff48;Bloque 1;1;1;1625;Si
132;Derecha;1250;47;26;Suma;103;5ff48;Bloque 1;1;1;882;Si
325;Izquierda;1250;74;38;Resta;30;5ff48;Bloque 1;1;1;1022;Si
182;Izquierda;750;65;29;Suma;94;5ff48;Bloque 1;1;1;630;No
173;Izquierda;750;59;35;Suma;66;5ff48;Bloque 1;1;1;711;Si
128;Derecha;750;45;36;Suma;68;5ff48;Bloque 1;1;1;1018;Si
131;Izquierda;300;47;25;Suma;72;5ff48;Bloque 1;1;1;807;No
213;Izquierda;1250;68;26;Resta;42;5ff48;Bloque 1;1;1;439;Si
306;Izquierda;1250;65;26;Resta;39;5ff48;Bloque 1;1;1;404;No
